                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.93704,                 1.0117,                  1.259,                0.63568,                0.61719,                 0.6499,                0.44366,                 1.3213,                 1.6275,                 1.7543,               0.005314,               0.005314,               0.005314
                     73,                0.93067,                0.99217,                 1.2701,                0.71817,                 0.6569,                 0.6929,                0.46466,                 1.2931,                 1.5354,                 1.6876,               0.005248,               0.005248,               0.005248
                     74,                0.90836,                0.98378,                 1.2582,                0.75208,                0.71983,                0.73492,                 0.4912,                  1.283,                 1.4506,                 1.7497,               0.005182,               0.005182,               0.005182
                     75,                0.91611,                0.97738,                 1.2807,                0.80115,                0.66739,                0.75139,                0.51125,                 1.2781,                  1.477,                 1.7198,               0.005116,               0.005116,               0.005116
                     76,                0.89392,                0.97153,                 1.2696,                0.81686,                0.64023,                0.73752,                0.51074,                 1.2469,                 1.4329,                 1.7083,                0.00505,                0.00505,                0.00505
                     77,                0.85652,                0.92441,                 1.2338,                0.73188,                0.65669,                0.74447,                0.49448,                 1.3269,                 1.4811,                 1.7806,               0.004984,               0.004984,               0.004984
                     78,                0.89574,                0.92989,                 1.2387,                0.79696,                0.60139,                0.72691,                0.51079,                 1.2585,                 1.4113,                 1.7307,               0.004918,               0.004918,               0.004918
                     79,                0.92785,                0.95255,                 1.2481,                0.81016,                0.70148,                0.76345,                0.54351,                 1.2345,                 1.3542,                 1.6734,               0.004852,               0.004852,               0.004852
                     80,                0.88143,                0.92051,                 1.2384,                0.72947,                0.71847,                 0.7623,                0.51716,                 1.2771,                 1.3176,                 1.7367,               0.004786,               0.004786,               0.004786
                     81,                0.85744,                  0.903,                 1.2196,                0.74617,                0.68737,                 0.7487,                0.51119,                 1.2372,                 1.3519,                 1.6855,                0.00472,                0.00472,                0.00472
                     82,                0.87165,                0.88812,                  1.213,                0.75076,                0.69816,                0.76112,                0.50772,                 1.2586,                 1.3957,                 1.6807,               0.004654,               0.004654,               0.004654
                     83,                0.86287,                0.88279,                 1.2286,                  0.831,                0.68296,                0.73204,                0.50688,                 1.2619,                 1.3326,                 1.6954,               0.004588,               0.004588,               0.004588
                     84,                0.85503,                0.87781,                 1.2189,                 0.7657,                0.71428,                0.74309,                0.50378,                 1.2586,                 1.2838,                 1.6901,               0.004522,               0.004522,               0.004522
